date,open,high,low,close,volume
15-Oct-17,4.0700,4.4900,4.0700,4.1300,59721
16-Oct-17,4.1000,4.3000,4.0100,4.1800,112383
17-Oct-17,4.1800,4.2500,3.6900,3.7700,127915
18-Oct-17,3.8500,4.1000,3.8500,3.9200,62588
19-Oct-17,3.9200,6.3900,3.7701,5.1400,783138
20-Oct-17,5.5000,5.6000,4.5000,4.5100,322072
21-Oct-17,4.6200,4.6200,4.1500,4.2300,69354
22-Oct-17,4.2800,4.5655,4.1753,4.2800,37404
23-Oct-17,4.4400,4.4558,4.2100,4.3200,33669
24-Oct-17,4.3100,4.3200,4.1800,4.2400,24736
25-Oct-17,4.2400,4.6550,4.2000,4.2800,98585
26-Oct-17,0.4401,0.4551,0.4300,0.4450,39247
27-Oct-17,0.4501,0.4501,0.4300,0.4300,35046
28-Oct-17,0.4300,0.4700,0.4300,0.4600,66691
29-Oct-17,0.4700,0.4700,0.4210,0.4400,125643
30-Oct-17,0.4400,0.4500,0.4104,0.4250,109814
31-Oct-17,0.4208,0.4300,0.3430,0.3640,165907
1-Nov-17,0.3700,0.3999,0.3600,0.3600,64807
2-Nov-17,0.3900,0.4000,0.3650,0.3732,52786
3-Nov-17,0.3918,0.4000,0.3661,0.3800,42991
4-Nov-17,0.3650,0.4603,0.3349,0.3701,139083
5-Nov-17,0.3560,0.4000,0.3321,0.3780,483827
6-Nov-17,0.3800,0.3800,0.3420,0.3700,121560
7-Nov-17,0.3700,0.3800,0.3300,0.3530,232385
8-Nov-17,0.3590,0.3599,0.3100,0.3350,121181
9-Nov-17,0.3500,0.3500,0.2833,0.3100,310932
10-Nov-17,0.3000,0.3100,0.2800,0.2976,126208
11-Nov-17,0.3124,0.3300,0.3000,0.3095,95887
12-Nov-17,0.3100,0.3480,0.3010,0.3340,300727
13-Nov-17,0.3302,0.3598,0.3010,0.3050,223274
14-Nov-17,0.3000,0.3150,0.2900,0.2900,293167
15-Nov-17,0.2900,0.3000,0.2850,0.2900,113372
16-Nov-17,0.2900,0.3000,0.2700,0.2750,181401
17-Nov-17,0.3000,0.3000,0.2800,0.2996,163095
18-Nov-17,0.3000,0.3000,0.2800,0.2800,279774
19-Nov-17,4.1000,7.4300,4.0600,5.2600,4551063
20-Nov-17,5.4500,6.3700,4.9601,5.1900,1897487
21-Nov-17,5.2600,5.3700,4.7000,5.0500,330625
22-Nov-17,5.0000,5.4192,4.8117,5.1200,251488
23-Nov-17,5.1400,5.9800,4.9901,5.7400,363261
24-Nov-17,6.0000,6.0000,5.3110,5.5800,212798
25-Nov-17,5.6000,5.6750,5.2800,5.3600,84328
26-Nov-17,5.3500,5.7600,5.2600,5.5800,107785
27-Nov-17,5.4700,5.5800,5.1100,5.1200,84316
28-Nov-17,5.1000,5.1050,4.7600,4.8700,94641
29-Nov-17,4.8000,5.0300,4.5000,4.6200,174276
30-Nov-17,4.6200,4.9900,4.5000,4.8100,142232
1-Dec-17,4.8100,4.9890,4.7200,4.7200,75582
